,x,y,word,label
Enge,-54.71007,-19.614653,Enge,1
bjec-ene,-1.042866,-32.745064,bjec-ene,2
ruc,50.209187,-16.277029,ruc,3
W,-55.26465,-8.336546,W,1
O,-8.170232,-28.90319,O,4
Prcl,-51.58132,-18.310637,Prcl,1
chr,26.45857,-34.80133,chr,4
"pe,",49.6545,-24.723776,"pe,",3
Orflw,-25.907055,-52.701675,Orflw,0
En,-38.84154,-20.55133,En,1
nerfce,-43.54293,-19.171303,nerfce,1
Ac,-52.570293,-18.58153,Ac,1
epln,-12.352343,-43.313572,epln,4
ec),42.876892,-14.220614,ec),3
lcene,-30.641066,-37.33374,lcene,1
l-,-9.424924,-41.927895,l-,1
echlge,-19.261187,-26.926514,echlge,4
cn-le,-10.289778,-25.780573,cn-le,4
(l,47.833504,-14.148533,(l,2
Xce,-47.242928,-31.499264,Xce,0
ele,49.08206,-3.864897,ele,3
Perl,-3.2380044,-29.052921,Perl,2
Hke,-4.397208,-28.29635,Hke,4
elf,44.326637,-20.550457,elf,3
gh,41.170185,-29.298666,gh,3
nchru,0.33315027,-18.992792,nchru,2
peng,51.321148,-22.315619,peng,3
THE,-28.751497,-51.57677,THE,0
pecf,20.878883,-30.387127,pecf,0
"be,",27.889362,-21.04097,"be,",3
(eg,50.975056,-24.082096,(eg,3
(n,47.218056,-10.6189,(n,3
Chr,-49.90856,-25.504425,Chr,4
Cr,-43.02297,-18.299778,Cr,1
epl,-11.940984,-43.147556,epl,1
H,-53.257717,-12.808364,H,1
Uer,-54.57169,-3.258394,Uer,1
:,8.582705,-12.913952,:,2
MSQL,-61.103127,-8.318437,MSQL,1
pprp,18.654705,-30.542337,pprp,0
Excel,-55.86802,-7.682891,Excel,0
bck,34.142605,-29.082342,bck,3
AngulrJS,-13.943863,-27.576847,AngulrJS,4
vnce,-14.372,-36.142384,vnce,4
Dbe,-58.224213,-12.437025,Dbe,1
expe,29.736635,-30.685535,expe,3
"err,",3.483693,-37.40672,"err,",1
gulr,57.70684,-23.302502,gulr,3
pleng,-4.7589126,-23.264126,pleng,2
pee,45.05841,-24.594027,pee,3
Offce,-55.94136,-8.890219,Offce,1
ube,46.578793,-18.71399,ube,3
Mn,-22.204607,-21.582344,Mn,4
Dc,-52.79738,-19.159466,Dc,1
elp,-16.552874,-39.644527,elp,4
rgun,57.934784,-26.068348,rgun,3
fcle,-11.142784,-34.161255,fcle,4
"ue,",22.964136,-10.237715,"ue,",2
prgrc,4.3681455,-18.262712,prgrc,4
publc,7.6890597,-41.269672,publc,3
frrucu,-11.176545,-43.5338,frrucu,1
Mble,-50.512394,-26.234957,Mble,1
eec,43.65194,-23.594193,eec,3
Delph,-33.692795,-37.0403,Delph,0
Be,-34.112892,-7.8221445,Be,1
cpg,47.495014,-21.467503,cpg,3
Cl,-35.51163,-19.01188,Cl,2
rl,36.139004,-20.244278,rl,3
Cc,-44.5119,-33.497593,Cc,4
(frl,-57.532177,-17.775238,(frl,1
ecrp,55.70654,-22.873001,ecrp,3
hghl,-11.199825,-40.06152,hghl,4
Dnc,-55.72029,-9.932183,Dnc,1
-b,-28.852896,-35.69218,-b,0
Crl,-53.34107,-14.610365,Crl,1
DOM,27.017275,-34.3975,DOM,3
ecu,2.3389583,-43.006485,ecu,1
eplg,-18.395554,-27.691965,eplg,4
